,gender,Nationality,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisitedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays
0,1,1,1,1,1,1,1,1,1,15,16,2,20,1,1,1
1,1,1,1,1,1,1,1,1,1,20,20,3,25,1,1,1
2,1,1,1,1,1,1,1,1,1,10,7,0,30,2,2,2
3,1,1,1,1,1,1,1,1,1,30,25,5,35,2,2,2
4,1,1,1,1,1,1,1,1,1,40,50,12,50,2,2,2
5,2,1,1,1,1,1,1,1,1,42,30,13,70,1,2,2
6,1,1,1,2,2,1,2,1,1,35,12,0,17,2,2,2
7,1,1,1,2,2,1,2,1,1,50,10,15,22,1,1,1
8,2,1,1,2,2,1,2,1,1,12,21,16,50,1,1,1
9,2,1,1,2,2,2,1,1,1,70,80,25,70,1,1,1
10,1,1,1,2,2,1,2,1,1,50,88,30,80,1,1,1
11,1,1,1,2,2,2,2,1,1,19,6,19,12,1,1,1
12,1,1,1,1,1,1,1,1,1,5,1,0,11,2,2,2
13,1,2,2,2,3,1,2,1,1,20,14,12,19,2,2,2
14,2,1,1,2,3,1,2,1,2,62,70,44,60,2,2,2
15,2,1,1,2,4,1,1,1,1,30,40,22,66,1,1,1
16,1,1,1,2,2,2,1,1,1,36,30,20,80,2,2,2
17,1,1,1,2,2,1,2,1,1,55,13,35,90,2,2,2
18,2,1,1,2,2,1,1,1,2,69,15,36,96,1,1,1
19,1,1,1,2,2,2,1,1,2,70,50,40,99,1,1,1
20,2,1,1,2,2,1,1,1,1,60,60,33,90,2,2,2
21,2,1,1,2,2,2,1,1,1,10,12,4,80,2,2,1
22,1,1,1,2,2,1,1,1,1,15,21,2,90,2,2,1
23,1,1,1,2,2,1,1,1,1,2,0,2,50,2,2,2
24,1,1,1,2,2,2,1,1,1,0,2,3,70,1,1,2
25,1,1,1,2,2,1,1,1,1,8,7,30,40,1,1,2
26,1,1,1,2,2,2,1,1,1,19,19,25,40,1,2,1
27,1,1,1,2,3,1,3,1,1,25,15,12,33,2,2,2
28,1,1,1,2,3,1,4,1,1,75,85,52,43,1,1,1
29,2,1,1,2,3,1,3,1,1,30,90,33,35,2,2,1
30,2,1,1,2,3,1,3,1,1,35,80,50,70,1,1,1
31,1,1,1,2,2,1,1,1,1,4,5,40,16,1,1,2
32,2,1,1,1,2,1,1,1,1,2,19,10,50,1,1,2
33,1,1,1,1,5,1,5,1,1,8,22,9,40,2,2,2
34,1,1,1,2,2,2,4,1,1,12,11,8,40,2,2,2
35,1,1,1,2,2,1,5,1,1,10,12,17,30,2,2,2
36,1,1,1,2,2,2,4,1,2,8,6,4,22,1,1,2
37,2,3,3,2,2,1,1,1,1,45,54,26,90,1,1,1
38,1,1,1,2,4,1,1,1,1,0,0,0,4,2,2,2
39,2,4,4,2,2,2,4,1,1,50,90,37,70,1,1,1
40,2,1,1,2,2,1,1,1,1,14,13,3,70,2,2,2
41,1,1,1,2,2,1,1,1,1,19,20,16,50,2,1,1
42,1,1,1,3,6,1,1,1,1,10,12,7,33,1,1,2
43,2,1,1,3,6,1,1,1,1,30,35,28,90,1,1,1
44,2,1,1,3,6,1,1,1,1,33,33,30,90,2,2,1
45,1,1,1,2,2,1,6,1,1,20,12,15,70,2,1,2
46,1,1,1,1,5,1,5,1,1,7,10,1,30,2,2,2
47,2,1,1,3,7,1,5,1,2,70,4,39,90,1,1,1
48,2,1,1,3,7,1,5,1,2,13,80,40,88,1,1,1
49,2,1,1,3,7,1,5,1,1,29,39,50,77,1,1,1
50,2,1,1,3,7,1,5,1,1,20,14,12,70,2,2,2
51,1,1,1,3,7,1,5,1,1,39,15,16,50,2,1,2
52,2,1,1,3,7,1,5,1,1,55,90,16,40,2,2,1
53,2,1,1,3,8,1,4,1,2,49,70,19,75,1,1,1
54,1,1,1,3,7,1,5,1,2,12,50,8,30,2,2,2
55,1,1,1,2,2,1,2,1,1,16,14,6,20,1,1,2
56,1,5,5,2,3,2,2,1,1,19,5,4,1,1,1,2
57,1,1,1,2,2,1,2,1,1,5,2,6,5,1,1,2
58,1,1,1,2,2,1,2,1,1,28,60,19,50,1,1,1
59,2,5,5,2,2,1,2,1,1,27,22,22,40,2,1,1
60,2,6,6,1,5,1,5,1,2,21,10,28,20,2,1,2
61,1,1,1,3,9,1,1,1,1,50,70,32,40,1,1,1
62,1,7,7,3,9,1,1,1,2,80,90,70,80,1,1,1
63,1,1,1,3,9,1,1,1,1,17,13,16,12,1,2,1
64,1,1,1,3,9,1,1,1,1,0,5,7,2,2,2,2
65,1,1,1,3,7,1,5,1,1,13,5,18,19,2,2,2
66,2,1,1,3,7,1,5,1,1,25,10,19,30,2,2,2
67,2,5,5,3,7,1,5,1,2,65,75,23,80,1,1,1
68,2,5,5,3,7,1,1,1,2,70,69,35,30,1,1,1
69,1,6,6,2,2,1,1,1,1,39,40,11,33,2,2,1
70,1,6,6,2,2,1,1,1,1,22,30,10,12,1,1,2
71,1,1,1,2,2,1,1,1,1,29,22,9,20,1,1,1
72,1,1,1,2,2,1,2,1,1,11,2,2,8,2,2,1
73,2,1,1,2,2,1,5,1,1,19,30,26,19,1,2,2
74,1,1,1,2,2,2,1,1,1,12,0,6,13,2,2,1
75,1,6,6,2,2,1,6,1,2,50,90,29,60,1,1,1
76,1,8,8,3,6,1,1,1,2,15,70,37,44,1,1,1
77,1,1,1,3,6,1,1,1,1,20,80,33,33,1,1,1
78,1,1,1,3,8,1,6,1,1,13,3,11,9,2,2,2
79,2,2,2,2,2,2,2,1,2,80,90,49,55,1,2,1
80,1,1,1,2,2,1,2,1,1,8,15,10,40,1,2,1
81,1,1,1,1,10,1,1,1,1,8,25,1,70,2,2,2
82,1,1,1,1,10,2,1,1,1,7,5,2,80,1,1,2
83,1,1,1,1,10,2,1,1,1,7,4,10,50,2,1,2
84,1,1,1,1,10,2,1,1,1,50,70,50,10,1,1,2
85,1,1,1,1,10,2,1,1,1,1,0,1,12,2,2,2
86,1,4,4,1,10,2,1,1,1,70,12,40,50,1,1,1
87,1,1,1,1,10,2,1,1,1,19,70,3,50,2,2,1
88,2,1,1,1,10,2,1,1,1,3,12,4,33,2,2,1
89,1,1,1,1,10,2,1,1,1,5,20,1,50,1,1,2
90,1,1,1,1,10,2,1,1,1,4,8,10,60,1,1,2
91,1,1,1,1,10,2,1,1,1,80,90,55,19,1,1,1
92,2,1,1,1,10,2,1,1,1,50,70,19,15,1,1,1
93,1,5,5,1,10,2,1,1,1,55,89,40,40,1,1,1
94,2,1,1,1,10,2,1,1,1,80,44,35,10,2,1,2
95,2,1,1,1,10,2,1,1,1,100,80,2,70,2,2,1
96,2,1,1,1,10,3,1,1,1,14,60,11,75,1,1,1
97,2,1,1,1,10,2,1,1,1,6,2,38,12,2,2,1
98,2,1,1,1,10,3,1,1,1,10,3,0,30,2,2,1
99,1,1,1,1,10,2,1,1,1,50,7,9,50,1,2,2
100,1,1,1,1,10,2,1,1,1,50,90,40,90,1,2,1
101,2,1,1,1,10,2,1,1,2,70,92,50,7,1,1,1
102,2,1,1,1,10,2,1,1,1,2,6,2,8,2,2,2
103,1,1,1,1,10,2,1,1,1,1,7,6,10,2,2,2
104,1,1,1,1,10,2,1,1,1,0,12,3,3,1,1,2
105,2,1,1,1,10,2,1,1,1,0,0,5,80,1,1,2
106,2,1,1,1,10,2,1,1,1,12,26,7,40,1,1,1
107,1,1,1,1,10,2,1,1,1,70,90,41,33,1,2,1
108,1,4,4,1,10,2,1,1,1,7,12,5,3,2,2,2
109,1,1,1,1,10,2,1,1,1,90,70,30,14,2,2,1
110,2,6,6,1,10,2,1,1,2,70,88,55,40,1,1,1
111,1,1,1,1,10,3,1,1,1,77,80,51,80,2,1,1
112,1,1,1,1,10,2,1,1,1,2,5,3,50,2,2,2
113,1,1,1,1,10,2,1,1,1,25,27,0,69,2,2,2
114,1,1,1,1,10,2,1,1,1,11,2,0,50,2,2,2
115,1,1,1,1,10,2,1,1,1,0,8,11,70,1,1,2
116,2,1,1,1,10,3,1,1,2,77,80,12,19,1,1,2
117,2,1,1,1,10,3,1,1,2,25,29,40,17,2,1,1
118,2,1,1,1,10,3,1,1,2,24,35,23,22,1,1,2
119,1,1,1,1,10,3,1,1,1,60,60,3,60,2,2,1
